2023-12-16 12:25:59.514 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.515 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.515 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.517 DEBUG [8744] [PrintNums@15] 1- num | amout - 3

2023-12-16 12:25:59.517 DEBUG [8744] [PrintNums@15] 1- num | amout - 3

2023-12-16 12:25:59.518 DEBUG [8744] [PrintNums@15] 1- num | amout - 3

2023-12-16 12:25:59.518 DEBUG [8744] [PrintNums@15] 2- num | amout - 3

2023-12-16 12:25:59.520 DEBUG [8744] [PrintNums@15] 2- num | amout - 3

2023-12-16 12:25:59.525 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.525 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.525 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.525 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.527 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.530 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.530 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.530 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.531 DEBUG [8744] [PrintNums@15] 2- num | amout - 3

2023-12-16 12:25:59.531 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.531 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.532 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.532 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.534 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.538 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.538 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.538 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.538 DEBUG [8744] [PrintNums@15] 4- num | amout - 4

2023-12-16 12:25:59.538 DEBUG [8744] [PrintNums@15] 4- num | amout - 4

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 3- num | amout - 4

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 2- num | amout - 3

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.539 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.541 DEBUG [8744] [PrintNums@15] 1- num | amout - 2

2023-12-16 12:25:59.541 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.546 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.547 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.548 DEBUG [8744] [PrintNums@15] 1- num | amout - 0

2023-12-16 12:25:59.548 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.552 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.553 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.554 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.555 DEBUG [8744] [PrintNums@15] 1- num | amout - 3

2023-12-16 12:25:59.555 DEBUG [8744] [PrintNums@15] 1- num | amout - 3

2023-12-16 12:25:59.559 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.560 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 4- num | amout - 4

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 5- num | amout - 5

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 6- num | amout - 6

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 6- num | amout - 6

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 6- num | amout - 5

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 6- num | amout - 5

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 5- num | amout - 5

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 5- num | amout - 4

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 5- num | amout - 4

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 4- num | amout - 4

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 4- num | amout - 3

2023-12-16 12:25:59.561 DEBUG [8744] [PrintNums@15] 4- num | amout - 3

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 1- num | amout - 1

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 2- num | amout - 2

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 3- num | amout - 3

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 4- num | amout - 4

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 5- num | amout - 5

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 6- num | amout - 6

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 1- num | amout - 6

2023-12-16 12:25:59.566 DEBUG [8744] [PrintNums@15] 1- num | amout - 6

2023-12-16 12:25:59.568 DEBUG [8744] [PrintNums@15] 1- num | amout - 6

2023-12-16 12:25:59.568 DEBUG [8744] [PrintNums@15] 2- num | amout - 6

2023-12-16 12:25:59.569 DEBUG [8744] [PrintNums@15] 2- num | amout - 6

2023-12-16 12:25:59.569 DEBUG [8744] [PrintNums@15] 3- num | amout - 6

2023-12-16 12:25:59.570 DEBUG [8744] [PrintNums@15] 3- num | amout - 6

2023-12-16 12:25:59.570 DEBUG [8744] [PrintNums@15] 4- num | amout - 6

2023-12-16 12:25:59.572 DEBUG [8744] [PrintNums@15] 4- num | amout - 6

2023-12-16 12:25:59.572 DEBUG [8744] [PrintNums@15] 5- num | amout - 6

2023-12-16 12:25:59.573 DEBUG [8744] [PrintNums@15] 5- num | amout - 6

2023-12-16 12:25:59.573 DEBUG [8744] [PrintNums@15] 6- num | amout - 6

2023-12-16 12:25:59.576 DEBUG [8744] [PrintNums@15] 6- num | amout - 6

2023-12-16 12:25:59.577 DEBUG [8744] [PrintNums@15] 5- num | amout - 6

2023-12-16 12:25:59.578 DEBUG [8744] [PrintNums@15] 4- num | amout - 6

2023-12-16 12:25:59.579 DEBUG [8744] [PrintNums@15] 3- num | amout - 6

2023-12-16 12:25:59.580 DEBUG [8744] [PrintNums@15] 2- num | amout - 6

